question,answer,category,적용대상
군복무·일정 등으로 시간 확보가 어려울 때 최소한 챙길 공부는?,"바쁜 날에도 영단어 암기, 수학 인강 1강만이라도 꼭 챙기고, 여유 있을 때 진도와 복습을 병행하세요.",학습법,공통
수학 진도와 복습은 어떻게 병행하면 좋나요?,"진도와 복습을 동시에 진행하되, 진도에 치우치지 않도록 문제풀이, 오답노트, 개념 정리를 병행하세요. 시간이 부족할 땐 복습에 집중해도 됩니다.",수학,이과
편입 수학 공식은 어떻게 암기·정리하는 게 효과적인가요?,"날을 잡고 빈 종이에 아무것도 안 보고 삼각함수, 미분, 적분 등 공식과 개념을 모두 적어보는 식으로 정리하면 본인의 약점을 파악하는 데 효과적입니다.",수학,이과
"데일리테스트, 위클리테스트 등은 어떻게 활용해야 하나요?","데일리테스트는 단어 복습, 위클리테스트는 수학 진도 점검 및 오답 정리에 활용하세요. 틀린 문제는 별도 정리해서 다시 풀어보는 게 중요합니다.",시험준비,공통
"모의고사는 언제부터 응시하고, 어떻게 활용해야 하나요?","수학 진도가 미적분까지 나가면 김영 모의고사 등 응시, 영어는 단어/강의 기본만 챙겨도 모의고사 보는 것이 실전감각 익히기에 좋습니다. 점수에 연연하기보다 오답과 유형 파악이 중요합니다.",시험준비,공통
실제 시험과 모의고사 난이도 및 유형은 얼마나 유사한가요?,"김영 모의고사 영어는 실제 시험과 난이도가 유사하며, 수학은 학교별 난이도 차가 크지만 김영 모의고사 수학은 쉬운 편입니다.",시험준비,이과
"공부 루틴이 무너졌거나, 번아웃·슬럼프일 때 대처법은?","공부 못한 날이 있더라도 자책하지 말고 다시 시작하면 됩니다. 주말엔 4~5시간 목표, 단어라도 매일 반복하세요.",학습법,공통
"휴가, 훈련 등 일정이 많을 때 어떻게 계획하면 좋나요?","휴가, 훈련 중에는 쉬는 시간 1/3~1/2만 공부에 투자하고, 나머지는 휴식에 써도 됩니다. 약속이 있을 때는 전후 시간 최대한 활용하세요.",학습법,공통
영어·수학 문제풀이/오답 정리는 어떻게 하는 게 좋나요?,"틀린 문제는 파트별로 정리, 해설 강의로 다른 풀이법도 참고, 오답의 원인과 정답의 근거를 찾아보는 연습이 중요합니다.",학습법,공통
수학 복습은 어떤 점에 중점 두면 좋나요?,"같은 문제를 여러 방법(치환, 부분적분 등)으로 접근해보고, 공식/개념은 여러 각도에서 적용하는 연습이 실력 향상에 도움 됩니다.",수학,이과
"편입 영어 단어장은 어떻게 선택하고, 어떤 방식으로 외워야 하나요?","문과 학생은 'mvp', '보카바이블', '김신근 프로파일러' 단어장 중 표제어 위주로 여러 번 반복 암기가 가장 효과적입니다. 첫 회독은 50% 정도 암기를 목표로 하고, 이후 동의어/반의어는 2회독부터 챙기면 됩니다.",영어,문과
"단어 암기가 너무 힘들고 오래 걸리는데, 완벽하게 외워야 하나요?","단어는 완벽하게 외우기보다 여러 번 반복하는 것이 더 중요합니다. 1회독 때는 모르는 단어 위주로, 여러 번 보다 보면 자연스럽게 외워집니다.",영어,공통
단어장 회독은 어떻게 해야 하나요?,"mvp나 보카바이블 등 여러 단어장을 병행할 때, 한 권씩 집중해서 1회독한 뒤 다른 권으로 넘어가는 방식이 효율적입니다. 회독 후에는 그 안에서 모르는 단어만 다시 복습하세요.",영어,문과
일과 병행하며 공부할 때 시간 확보와 최소 루틴은 어떻게 해야 하나요?,"바쁜 날에는 단어 암기, 인강 1강만이라도 반드시 챙기고, 여유 있을 때 진도와 복습을 추가로 진행하세요. 꾸준히 최소 루틴만 지켜도 장기적으로 효과가 있습니다.",학습법,공통
단어를 매일 외워야 하나요?,"네, 단어는 매일 반복하는 것이 가장 중요합니다. 단어 암기량이 부담될 경우 하루에 1~2강씩, 주말에 더 많이 챙기면 됩니다.",영어,공통
"문법, 독해, 논리 인강과 단어 암기는 어떤 순서와 방식이 좋나요?","문과 기준으로 인강은 lv1(문법, 독해, 논리) → lv2(고난도/응용) 순서로 듣고, 단어는 매일 꾸준히 암기하는 것이 좋습니다.",커리큘럼,문과
모의고사 성적 분석과 오답 활용은 어떻게 하면 되나요?,"모의고사는 점수에 너무 연연하지 말고, 틀린 문제의 원인(어휘, 문법, 논리, 독해 등)을 파악한 뒤 오답노트에 정리하세요. 시험 전까지 반복 복습이 중요합니다.",시험준비,공통
공부 루틴이 무너졌거나 컨디션이 안 좋을 때 최소 챙길 것은?,"건강이 우선이므로 무리하지 말고, 단어 암기만이라도 챙기고 컨디션 회복 후 진도와 복습을 따라잡으면 됩니다.",학습법,공통
교환학생 학점이나 계절학기 등 학점 관련 문의는 어떻게 해야 하나요?,대학마다 인정 여부가 다르기 때문에 반드시 지원 대학 입학처에 직접 문의해서 정확히 확인하는 것이 가장 좋습니다.,입시정보,공통
단어 암기에 활용할 수 있는 앱이나 도구가 있나요?,퀴즐렛(Quizlet) 등 단어 암기 앱을 활용하면 반복 학습에 효과적입니다.,영어,공통
강의 선택 및 레벨 배정 기준이 있나요?,"문과는 주로 김신근, 정병권 강사의 인강을 활용하며, 실력에 따라 레벨 1부터 시작해 점차 레벨을 올립니다. OT 강의를 들어보고 본인에게 맞는 강사를 선택하면 됩니다.",커리큘럼,문과
"모의고사에서 장문 독해, 순서/삽입 문제 오답이 많을 때 보완 방법은?","장문 독해는 어휘력 부족에서 오는 경우가 많으니 단어 암기에 더 투자하고, 순서/삽입 파트는 문제를 반복적으로 풀면서 단서 찾는 연습을 하세요.",시험준비,문과
문법 공부가 부족한 것 같은데 어떻게 복습해야 하나요?,"강의에서 다룬 기출/중요 문법을 위주로 오답 정리를 하고, 문법은 너무 지엽적인 부분까지 깊게 파지 말고 실전 문제를 풀면서 보충하는 방식이 좋습니다.",영어,문과
정병권 단어장과 보카바이블을 병행해야 하나요?,"이미 정병권T 단어장 회독을 진행했다면, 보카바이블에 시간을 더 투자해 단어의 폭을 넓히는 것도 좋습니다. 보카바이블 1회독 후 정병권 단어장으로 돌아가도 괜찮습니다.",영어,이과
단어장(정병권/보카바이블) 회독과 암기 비율 목표는 어떻게 되나요?,"상반기엔 101~301, 보카바이블 A권을 중점적으로 암기하며, 2회독 때 60~70% 암기, 101은 85%, 301은 60% 수준을 목표로 합니다. B권은 하반기에 데일리테스트와 병행하는 것이 효율적입니다.",영어,이과
영어 단어 암기를 효과적으로 하는 방법이 궁금합니다.,"퀴즐렛 등 암기 앱 활용, 매일 반복, 파생어·동의어는 2회독 때 암기, 모르는 단어는 별도 정리해서 자주 복습하는 것이 좋습니다.",영어,공통
영어 문법/논리/독해 인강과 단어 암기는 어떤 순서와 루틴이 좋은가요?,"문법 개념 완강 후 논리 101, 단독·장독 101 순서로 진도, 단어는 매일 반복, 각 파트별 개념·문제 모두 꼼꼼히 복습해야 실력이 쌓입니다.",커리큘럼,이과
문법 교재 복습은 어떻게 해야 하나요?,"1주에 6챕터씩 복습하여 6월까지 3회독, 101은 개념, 201/301은 문제 위주로 여러 번 풀면서 약점 파악 및 반복 복습이 효과적입니다.",영어,공통
"학교 수업과 편입 공부를 병행할 때, 시간 배분은 어떻게 하나요?","전공 공부 3시간, 편입 공부 6~7시간 등 상황에 맞게 배분, 진도가 너무 안 나갈 땐 전공 시간을 줄여 편입에 투자, 시험기간에는 단어 암기 등 최소 루틴만 유지합니다.",학습법,공통
수학 진도/복습/문제풀이의 효율적인 루틴은 무엇인가요?,"단원 개념 강의-노트정리-유형별/심화별-하프테스트/고완풀 순서로 진행, 복습은 진도와 병행, 문제는 유형별·심화별로 반복 풀이, 틀린 문제는 오답노트에 기록해 복습",수학,이과
"수학(선형대수, 급수, 적분 등)에서 어려운 파트는 어떻게 준비하면 좋을까요?","새로운 단원(선형대수 등)은 강의와 병행, 기초 단원은 반복 복습, 급수·미분 응용 등은 다양한 문제 유형 경험, 하프테스트/고완풀 등 실전 문제풀이 반복",수학,이과
"위클리테스트, 데일리테스트는 어떻게 활용하는 게 좋나요?","위클리테스트는 50분 내에 실제 시험처럼 풀고, 오답 복습과 피드백 확인, 데일리테스트는 단어와 복습 위주로 활용",시험준비,공통
"모의고사는 언제부터, 어떤 목적으로 응시하면 좋나요?","진도 중간마다, 성적·문제 유형 파악과 실전 감각, 틀린 문제/약점 분석에 중점, 점수보단 오답 분석이 더 중요합니다.",시험준비,공통
단어를 매일 외워야 하나요?,"네, 단어는 매일 반복 암기하는 것이 가장 중요하며, 암기량이 부담되면 하루 최소량만, 주말에 보충하는 방식도 좋습니다.",영어,공통
시험기간·컨디션 저하 시 최소 루틴은?,"단어 암기와 인강 1강만이라도 꼭 챙기고, 이후 진도·복습을 따라가는 것이 좋습니다.",학습법,공통
모의고사 성적표는 어떻게 분석하고 오답은 어떻게 활용해야 하나요?,"틀린 문제의 파트(어휘, 문법, 논리, 독해 등) 파악, 오답노트 작성, 문제별로 왜 틀렸는지 분석 후 근거 찾는 연습이 중요합니다.",시험준비,공통
컨디션 저하·아플 때 공부는 어떻게 하나요?,"건강이 우선, 단어만이라도 챙기고 컨디션 회복 후 진도 따라가면 됩니다.",학습법,공통
정병권 단어장 단어 암기는 어떻게 하면 되나요?,첫 회독은 표제어 50% 암기를 목표로 하세요. 여러 번 반복해서 회독하면 자연스럽게 암기율이 올라갑니다.,영어,문과
단어 암기 방법은 어떻게 해야 효과적인가요?,"하루에 2~3챕터씩 외우고, 반복 회독하며 모르는 단어는 따로 정리하여 자주 복습하세요. 암기 앱(퀴즐렛) 활용도 추천합니다.",영어,공통
"학교, 시험, 과제와 병행할 때 최소 루틴은 무엇인가요?","바쁠 때는 단어 암기만이라도 꼭 챙기고, 시간 여유 있을 때 인강과 문제풀이까지 추가하세요.",학습법,공통
"단어장 101, 201, 301은 어떻게 회독해야 하나요?","상반기에는 101~301을 계속해서 반복 회독하세요. 1회독은 101-301, 2회독은 201-301, 그 후에는 301 등으로 순환하며 반복하면 좋습니다.",영어,문과
단어 외우는 데 시간이 오래 걸리거나 부담될 땐 어떻게 해야 하나요?,100% 암기를 목표로 하기보다 50~70%만 외우고 회독을 늘리면 자연스럽게 암기율이 오릅니다.,영어,공통
문법/논리/독해 인강은 어떤 순서로 듣는 게 좋은가요?,"문법 완강 후 논리, 단독, 장독 순서로 듣고, 강의 후에는 복습 및 오답정리를 꼭 하세요.",커리큘럼,문과
"시험기간, 컨디션 저하 등으로 공부량이 줄 때는 어떻게 해야 하나요?","몸이 안 좋거나 일정이 많으면 단어 암기만이라도 꼭 챙기고, 컨디션 회복 후 진도와 복습을 따라가세요.",학습법,공통
모의고사와 실전시험 대비 방법은 어떻게 해야 하나요?,"모의고사 신청은 꼭 챙기고, 오답 분석할 때는 파트별로 약점과 원인을 정리하여 복습하세요. 점수에 집착하기보다 틀린 문제 파악이 중요합니다.",시험준비,공통
논리/독해가 어렵게 느껴질 때 어떻게 접근하면 좋나요?,"논리, 독해는 단어 암기가 뒷받침되어야 하며, 매일 꾸준히 강의 듣고 문제를 반복해서 풀어보는 것이 중요합니다.",영어,문과
강의 수강 및 교재 구매는 어떤 순서로 진행하나요?,"OT를 들은 후 강사와 커리큘럼을 정하고, 정병권 문법101, 논리101 등 교재를 차례대로 구매해 진도를 따라가면 됩니다.",커리큘럼,문과
